prot_index,uniprot_id,ph_dependence,note
31,A0A0S4FKT4,Activity is stable from pH 3.5 and 10.5. {ECO:0000269|PubMed:26227411};,
3190,C0HLR9,Optimum pH for hemagglutinating activity is 5-7 with activity decreasing quickly at higher or lower pH. {ECO:0000269|Ref.1};,
3191,C0HLV0,Optimum pH is 4.8 (PubMed:33892036). Active from pH 4 to 5 (PubMed:33892036). Activity is significantly reduced at pH 6 and is not observed at pH 7 (PubMed:33892036). {ECO:0000269|PubMed:33892036};,
3209,C7G1H4,Stable from pH 5.5-8.5. {ECO:0000269|PubMed:19939484};,
3214,C8WV58,Optimum pH is 5.8. Approximately 80% of activity retained after incubating the enzyme for 40 minutes in buffers ranging from pH 5.0 to pH 10.5. {ECO:0000269|PubMed:17914606};,
3244,D9PU00,Optimum pH is7.0. {ECO:0000269|PubMed:2499256};,
3254,E6Y8S8,Stable at pH 3. {ECO:0000269|PubMed:21462324};,
3262,F0M433,Stable in a pH range between 5.0 and 8.5 at 40 degrees Celsius for 30 min. {ECO:0000269|PubMed:30224354};,
3281,F7UI84,"Optimum pH is <7. Is active against E.coli ATCC25922 at pH 5 (MIC=12.5 uM), whereas is almost not active at pH 7 (MIC=70 uM). {ECO:0000269|PubMed:23967105};",
3295,G3XD12,"Optimum pH is 8.3 (in the presence of Tris-HCl). Active from 7.3-7.8 in the presence of other buffers. {ECO:0000269|PubMed:234422, ECO:0000269|PubMed:4813896, ECO:0000269|Ref.3};",
3297,G3XD67,"Optimum pH is 8.3 (in the presence of Tris-HCl). Active from 7.3-7.8 in the presence of other buffers. {ECO:0000269|PubMed:234422, ECO:0000269|PubMed:4813896, ECO:0000269|Ref.3};",
3313,I0DFJ0,Shows a working pH range between 6.0 and 8.0. {ECO:0000269|PubMed:33713143};,
3338,L8BRS3,Antibacterial activity retained between pH 7 and 10. {ECO:0000269|PubMed:23284650};,
3344,O00085,Optimum pH is 5.5. Active from 2.5 to 7.5 with phytic acid as substrate. The optimum pH is shifted to more acidic values with 4-nitrophenyl phosphate as substrate. {ECO:0000269|PubMed:9925555};,
3357,O08342,"Optimum pH is 4.0. Highly stable at acid pH. Retains 100% of its activity after 90 minutes incubation at pH 4.5 and 45 degrees Celsius, and 95% of the initial activity is found after 15 days incubation at room temperature and pH 4.5. {ECO:0000269|PubMed:9720200};",
3360,O16956,Optimum pH is acidic. {ECO:0000305|PubMed:23604316};,
3381,O30434,Stable between pH 3.0 and pH 7.0. {ECO:0000269|PubMed:17103378};,
3388,O32083,Optimal pH is about 5.7.;,
3410,O59632,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
3413,O59952,Active at alkaline pHs (up to pH 12 approximately).;,
3426,O85078,"Optimum pH is 8.0 in MOPS buffer at 30 degrees Celsius, 7.5 in 0.1 M potassium phosphate buffer at 30 degrees Celsius, and 7.4 in 20 mM potassium phosphate/2 mM DTT buffer at 30 degrees Celsius. Retains full activity in MOPS buffer between pH 6.5 and 10.0. Is irreversibly damaged below pH 6.5 in MOPS buffer, enzyme treated at pH 6.0 in MOPS buffer only regains 40% of its original activity after re-equilibration at pH 7.2. When treated at pH 5.2 or 10.1 in 20 mM potassium phosphate/2 mM DTT buffer activity is lost completely, but is recovered within 17 minutes following readjustment to pH 7.4. {ECO:0000269|PubMed:15068371, ECO:0000269|PubMed:17431803, ECO:0000269|PubMed:7918379};",
3499,P0DQT1,Stable to pH variation. {ECO:0000269|PubMed:27567704};,
3502,P10410,Stable over a wide pH range.;,
3509,P13123,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
3510,P13125,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
3534,P23673,Shows at least 80% of maximal activity from pH 5.9 to greater than 7.8 for acetate conversion. {ECO:0000269|PubMed:2719476};,
3543,P29051,Optimum pH for oxidative deamination is 9.2. Optimum pH for reductive amination is 8.5. {ECO:0000269|PubMed:22527040};,
3557,P32964,"Optimum pH is 7-8 (PubMed:1416986, PubMed:15703908). Active from pH 6 to pH 8.5 (PubMed:15703908, PubMed:18587571). {ECO:0000269|PubMed:1416986, ECO:0000269|PubMed:15703908, ECO:0000269|PubMed:18587571};",
3558,P33752,Shows at least 80% of maximal activity from pH 5.9 to greater than 7.8 for acetate conversion. {ECO:0000269|PubMed:2719476};,
3575,P39476,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
3593,P42723,Sensitive to extremes of pH.;,
3629,P60994,Active from pH 3.0 to 10.5. {ECO:0000269|PubMed:10691612};,
3630,P61990,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
3647,P80647,"Optimum pH is 7.5 for NADH -> NAD transhydrogenation, 6.5 for lipoamide reduction, 4.5 for NADPH -> NAD transhydrogenation, and 6.5 for NADH-ferricyanide reduction. {ECO:0000269|PubMed:9030666};",
3669,P83657,Active from pH 6.0 to 10.0.;,
3673,P84789,"Optimum pH for casein is 7.6 and philibertain g 1 retains more than 80% of maximum activity between pH 6.7 and pH 8.7, and 50% of maximum activity between pH 6.1 and pH 9.8. Optimum pH for PFLNA is 6.2-7.2 and philibertain g I retains more than 80% of maximum activity between pH 5.8 and pH 7.8, and 50% of maximum activity between pH 5.2 and pH 8.6. {ECO:0000269|PubMed:16328737};",
3679,P85498,Stable from pH 2.0 to 12.0. {ECO:0000269|PubMed:18368297};,
3680,P85513,"Most active from pH 5.0 to 8.0. {ECO:0000269|PubMed:16482399, ECO:0000269|PubMed:20469643};",
3681,P85978,Retains over 90% of its activity between pH 5.6 and 7.0. Retains 85% of its activity at pH 4.0 and 60% of its activity at pH 12.0. {ECO:0000269|PubMed:18395490};,
3688,P86837,"Optimum pH is 6.3 (Ref.1, PubMed:25043129). High activity and stability in the pH range from 5.0 to 8.0 (PubMed:24348183). {ECO:0000269|PubMed:24348183, ECO:0000269|PubMed:25043129, ECO:0000269|Ref.1};",
3702,P96134,"Optimum pH is dependent on ornithine concentration with an optimum at pH 8 for ornithine concentrations around KM values. Higher concentrations shift the optimum towards lower pH. At pH 7.0, the maximum velocity remains constant even when the ornithine concentration is very high (> 10 mM). At more alkaline pH, however, substrate inhibition is observed above 0.25 mM ornithine. {ECO:0000269|PubMed:9346304};",
3705,P96717,Optimally active at alkaline pHs. Activity increases with increasing pHs.;,
3747,Q0QLF4,Most stable at pH 8.0. Unstable at acidic pH values. {ECO:0000269|PubMed:8555176};,
3748,Q0QLF7,Optimum pH for the reduction of 6-hydroxynicotinate is 6.5. Activity declines rapidly below pH 5.6. {ECO:0000269|PubMed:5767303};,
3750,Q10721,"Optimum pH is 9.0. 20% of maximum activity is seen at pH 5.0. Inactive below pH 5.0 and above pH 11.0, inactivation by acidic pH is reversible. {ECO:0000269|PubMed:8670095};",
3798,Q2XWL3,"Optimum pH is 8.5-9.0 for sodium transport and 8.5 for lithium transport. Na(+)/H(+) antiporter activity is detected between pH 6.5 and 9.5, whereas Li(+)/H(+) antiporter activity is detected only above pH 7.5. {ECO:0000269|PubMed:16436066};",
3837,Q4J6M5,"Optimum pH is 6.7. At pH 6.7, glyceraldehyde is the predominant substrate, however at pH 7.5 the dehydrogenase exhibits activity preferentially towards the aliphatic aldehydes such as formaldehyde, acetaldehyde and propionaldehyde. {ECO:0000269|PubMed:10095793};",
3838,Q4J6M6,"Optimum pH is 6.7. At pH 6.7, glyceraldehyde is the predominant substrate, however at pH 7.5 the dehydrogenase exhibits activity preferentially towards the aliphatic aldehydes such as formaldehyde, acetaldehyde and propionaldehyde. {ECO:0000269|PubMed:10095793};",
3855,Q51334,Optimum pH for intein splicing is 4.5-6.5. {ECO:0000269|PubMed:8269515};,
3857,Q51739,Optimum pH is above 10. {ECO:0000269|PubMed:8390467};,
3861,Q53005,Optimum pH is above 9. {ECO:0000269|PubMed:8300518};,
3868,Q55190,"Activity is pH-independent. {ECO:0000269|PubMed:11157951, ECO:0000269|PubMed:19372598};",
3872,Q56303,Optimum pH is above 10 (at 80 degrees Celsius). {ECO:0000269|PubMed:8390467};,
3878,Q57696,Activity is independent of pH in the range of pH 5-9. {ECO:0000269|PubMed:9665711};,
3891,Q58783,Optimum pH is 7.0-7.5 and pH 9.6 for the reaction in the direction of SIH synthesis. Shows no activity at either pH 6.5 or pH 11.5 in the synthetic direction. The activity of SIHH in the hydrolysis direction shows essentially the same activity over the pH range 6.5-11.5. {ECO:0000269|PubMed:25917907};,
3893,Q58806,"Optimum pH is 9. The activity remained constant to pH 10.0. Below pH 9, the activity gradually declined, and the enzyme was inactive at pH 6 or below. {ECO:0000269|PubMed:16585745};",
3900,Q59263,"With magnesium ions the highest turnover of riboflavin is observed between pH 6 and 7.5, while that of FAD is between 7.0 and 9.0. With zinc ions a steady increase in riboflavin turnover is observed between pH 4.5 and 10, while FAD is the major product at pH 7.0 and decreases rapidly above pH 8.0. {ECO:0000269|PubMed:3023344};",
3925,Q5BCX8,Optimum pH is under 6.0. {ECO:0000269|PubMed:16844780};,
3931,Q5FA46,"Optimum pH is 9.5-11.5 for the oxidation of either (R,R)-butane-2,3-diol or meso-butane-2,3-diol and around 6.5 for the reduction of (3R/3S)-acetoin. {ECO:0000269|PubMed:33763825};",
3937,Q5JDG9,High levels of activity within a broad pH range of 5.0-8.0. {ECO:0000269|PubMed:25822915};,
3960,Q60362,Active at pH 7.0 and below.;,
3962,Q63K41,Active in pH ranges of 3.5-10.5. {ECO:0000269|PubMed:15063321};,
3974,Q6LWM9,Active from pH 6.5 to 7.8. {ECO:0000269|PubMed:18263721};,
4022,Q7X3G5,"Optimum pH is 8. No activity is detected at pH 4.0-5.0. At higher pH values, it shows rapid decrease in activity, although 50% of the relative activity is still detected at pH 9.0. It retains much residual activity after 30 minutes incubation at pH 4.0-8.0, indicating that CrtC is stable in both slightly alkaline and acid environments. {ECO:0000269|PubMed:21590288};",
4037,Q841V6,"Optimum pH is 6. The enzyme retains full activity at pH values from 5.5 to 7.5. After exposure to pH 4.5, the activity is reduced by 40%, and no residual activity is detected at pH values below 4.5 or above 7.5. {ECO:0000269|PubMed:12957891};",
4042,Q84MA5,Optimal transport of histidine at pH 4.5-5. {ECO:0000269|PubMed:8618839};,
4066,Q8GTM0,Stable under extremes of pH.;,
4070,Q8H6Q0,Stable under extremes of pH.;,
4071,Q8H6Q1,Stable under extremes of pH.;,
4111,Q8T882,"Optimum pH is 8.5 for the forward reaction, and 6.6-7.3 for the reverse reaction. The half-maximal rate is observed at 6.8 for the forward reaction, and at 5.5-7.9 for the reverse reaction. {ECO:0000269|PubMed:8840516};",
4120,Q8W257,"Optimum pH is below pH 6.0 with (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoic acid as substrate. {ECO:0000269|PubMed:9062129};",
4132,Q92407,"Activity is relatively constant from pH 7.5 to 9.0. Below pH 7.5, activity decreases with pH.;",
4137,Q93789,Optimum pH is acidic. {ECO:0000305|PubMed:23604316};,
4172,Q9AJS8,Optimum pH is above 9. {ECO:0000269|PubMed:11208796};,
4182,Q9DET7,Stable from pH 3.0 to 12.0. {ECO:0000269|PubMed:32540219};,
4196,Q9GV16,Optimum pH 3.0. Highly stable at acidic pH. {ECO:0000269|PubMed:10882727};,
4199,Q9HFA4,"Optimum pH is 6.0. Retains over 95 percent activity in the pH range from 5.0 to 7.0, and 70 percent activity in the pH range from 4.0 to 8.0. {ECO:0000269|PubMed:11210150};",
4218,Q9KWR0,Optimum pH is about 10.5 for the oxidative deamination of meso-diaminopimelate and 7.5 for the reductive amination of L-2-amino-6-oxopimelate. The rate of the amination reaction declines markedly above pH 9.0. {ECO:0000269|PubMed:7430138};,
4250,Q9P8P2,Active only at acidic pHs. {ECO:0000269|PubMed:10749672};,
4278,Q9UV63,Optimum pH for phosphorolysis of trehalose is 6.7. Stable between pH 6.0 and 7.0. {ECO:0000269|PubMed:12880768};,
4301,Q9Z0S1,Optimum pH is approximately 7.5. {ECO:0000269|PubMed:10224133};,
4310,S6D3A7,Stable to pH variation. {ECO:0000269|PubMed:27567704};,
4371,B1A7S3,Optimum pH is near 7.5. 30% of maximal activity at pH 6.5 and 8.5. {ECO:0000269|PubMed:15340796};,
4374,B3A0N4,Remains active between pH 2 and 10. {ECO:0000269|PubMed:21511463};,
4375,B3EWC5,Active between pH 3 and 11. {ECO:0000269|PubMed:22244810};,
4376,B3EWC6,"Optimum pH is 4.6. Activity decreases sharply with decreases and increases in pH and is absent at pH 8.0. When pre-incubated at different pH levels, activity is stable between pH 4 and 9. {ECO:0000269|PubMed:23322529};",
4379,B3EWP7,Stable from pH 2 to 12. {ECO:0000269|PubMed:24238327};,
4380,B3EWQ6,Active between pH 2 and 12. {ECO:0000269|PubMed:23508455};,
4393,C0HJC0,Activity is stable between pH 2 and 12 at 25 degrees Celsius. {ECO:0000269|PubMed:25862353};,
4400,C0HK24,Activity is stable between pH 4 and 7 but decreases at basic pH. {ECO:0000269|PubMed:25881955};,
4401,C0HK48,Stable in the pH range 2.2-10.0. {ECO:0000269|Ref.1};,
4402,C0HK70,Active between pH 5 and 10. {ECO:0000269|PubMed:28185046};,
4403,C0HK82,Stable between pH 4.0 and pH 8.0. {ECO:0000269|PubMed:27812926};,
4404,C0HL39,Active from pH 3.0 and pH 9.0. {ECO:0000269|Ref.1};,
4416,C6H178,"Hydrolyzes lactose at pH 6.5, 6.8 and 7.2. {ECO:0000269|PubMed:20822875};",
4420,C8WMP0,Transformation of DCA is more efficient at pH 10 than pH 7. {ECO:0000269|PubMed:26192599};,
4444,D9ZHN9,Stable at pH 3 and 25 degrees Celsius. {ECO:0000269|PubMed:32710524};,
4446,E0WX65,Optimum pHs for antimicrobial activity are 3.0 and 6.0. Activity is reduced by 50% at alkaline pHs 9.0 and 11.0. {ECO:0000269|PubMed:20627619};,
4455,F4B8X5,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4456,F4B991,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4460,F7UI86,"Optimum pH is <7. Is active against E.coli ATCC25922 at pH 5 (MIC=50 uM), whereas is not active at pH 7 (MIC>200 uM). {ECO:0000269|PubMed:23967105};",
4464,G1ESZ9,Stable below pH 9.0. Degrades by incubation at pH 9.5 and 10.0 for 1 hour. {ECO:0000269|PubMed:22303807};,
4472,H6VGI2,Stable at pH 4.0-8.0. {ECO:0000269|PubMed:24055770};,
4475,I2DDG2,Relatively stable at broad pH range (pH 1-11). Dimers are formed in strongly acidic (pH 2-5) and alkaline (pH 10-11) conditions. {ECO:0000269|PubMed:28692255};,
4480,J7HCX7,Stable at acidic (pH 1.0-5.0) and alkaline (pH 9.0 and 11.0) conditions. {ECO:0000269|PubMed:26083097};,
4499,O05420,Optimum pH 8.0. {ECO:0000269|PubMed:8951032};,
4505,O24645,Inactive below pH 7.0. {ECO:0000269|PubMed:9426598};,
4515,O29285,"Transport is pH-dependent, with a steep decline at pH values about 5.0. {ECO:0000269|PubMed:24958855};",
4534,O64759,Optimal transport of arginine at pH 5. {ECO:0000269|PubMed:15377779};,
4535,O69230,"Optimum pH is 5. Retains at least 50% of its maximum activity between pH 4.5 and 8.0. Is not active at pH values below 4.5, while at least 35% of maximum activity is found in the pH range 8.5-11.0. {ECO:0000269|PubMed:10463183};",
4547,P07528,Active over a very broad pH range.;,
4550,P0A6G3,Optimum pH active over a broad range of pH values. {ECO:0000269|PubMed:21953451};,
4578,P35809,Active over a very broad pH range.;,
4625,P80925,Stable from pH 1 to 10.;,
4634,P82288,Optimum pH is 6.5 at 40 degrees Celsius. Retains at least 80% of activity after incubation for 24 hours at 4 degrees Celsius between pH 4.5 and pH 9.5. {ECO:0000269|Ref.1};,
4639,P83207,Optimum pH range is 7.0-9.0. {ECO:0000269|PubMed:21617989};,
4641,P83311,Stable at acidic pHs. Inhibitory activity is unaffected after 1 hour at pH 3.0 and 96 degrees Celsius. Inactivated after 1 hour at pH 10.7 and 96 degrees Celsius.;,
4647,P83878,Active from pH 2.0 to 8.0. Retains some activity up to pH 12.0.;,
4652,P84330,"Stable over a wide pH range, activity is unaffected after incubation at pH 4.0-11.0. {ECO:0000269|PubMed:10817903};",
4653,P84331,"Stable over a wide pH range, activity is unaffected after incubation at pH 2.5-10.5. {ECO:0000269|Ref.2};",
4659,P84528,Optimum pH is from 5.5 to 6.0. {ECO:0000269|PubMed:15003351};,
4665,P84886,Stable below pH 6. {ECO:0000269|PubMed:16244793};,
4667,P85064,"No decrease in activity observed after incubating at pH 2.5, pH 7.4 and at pH 11.0 for 1 hour to overnight (PubMed:16839309, PubMed:23075397). {ECO:0000269|PubMed:16839309, ECO:0000269|PubMed:23075397};",
4669,P85147,Stable between pH 5.0 and pH 8.7. Activity is lost at pH 3.0 and above pH 9.5. {ECO:0000269|PubMed:18086839};,
4673,P85156,Optimum pH is 8.0. Retains over 50% of its activity after treatment for 20 min between pH 7.0 and 11.0. Inactivated by treatment at pH 13.0 and at pH values less than 5.0. {ECO:0000269|PubMed:17482570};,
4676,P85172,Stable at low pH. {ECO:0000269|PubMed:18474386};,
4680,P85839,Stable at acidic pHs. {ECO:0000269|PubMed:11895429};,
4681,P85876,Stable at pH 5.0. {ECO:0000269|PubMed:17551760};,
4683,P86036,Stable from pH 6 to 10. {ECO:0000269|PubMed:16940957};,
4684,P86043,Optimum pH is 8.2. Stable when incubated for 10 minutes between pH 2 and 11. Retains 70% of its activity when incubated for 10 minutes at pH 1.5. {ECO:0000269|PubMed:17656163};,
4692,P86393,"Stable from pH 3.0-9.0, inactivated at pH 10.0. {ECO:0000269|PubMed:15690798};",
4693,P86394,"Stable from pH 3.0-9.0, inactivated at pH 10.0. {ECO:0000269|PubMed:15690798};",
4694,P86395,"Stable from pH 3.0-9.0, inactivated at pH 10.0. {ECO:0000269|PubMed:15690798};",
4695,P86451,Retains activity after incubation for 10 minutes at pH 2.0 to 12.0. {ECO:0000269|PubMed:8728712};,
4696,P86520,Activity decreases below pH 5.5 and above pH 8.0. {ECO:0000269|PubMed:18328522};,
4697,P86548,Activity decreases below pH 5.5 and above pH 8.0. {ECO:0000269|PubMed:18328522};,
4699,P86809,Stable at pH 3. {ECO:0000269|PubMed:23913675};,
4701,P86893,Hemagglutinating activity stable between pH 6 and 8. {ECO:0000269|Ref.1};,
4703,P86922,Hemagglutinating activity is stable from pH 4 to pH 9 but drops sharply below pH 4 and above pH 9. {ECO:0000269|PubMed:21728991};,
4707,P93594,"Optimum pH is 5. Highly active at acidic pH range 4-7. Retains over 80% of maximum activity at 4.0. At higher pH values the activity decreases markedly, with more than 50% of activity lost at pH 8.0. {ECO:0000269|PubMed:30515829};",
4711,P95896,Active from pH 4 to 9.;,
4732,Q0QLE1,Highly active between pH 6.5 and 9.0. Retains 50% and 10% of maximum activity at pH 5.0 and 4.5 respectively. {ECO:0000269|PubMed:6489933};,
4733,Q0QLE2,"Highly active between pH 6.5 and 9.0. Retains 50% and 10% of maximum activity at pH 5.0 and 4.5, respectively. {ECO:0000269|PubMed:6489933};",
4741,Q22323,Active at pH 4 and 7.4. {ECO:0000269|PubMed:17348005};,
4743,Q28891,Optimally active at alkaline pHs.;,
4744,Q28892,Optimally active at acidic pHs.;,
4776,Q4J7W0,"Optimum pH is 4.0 (PubMed:29574614, PubMed:29642287). More than half of the maximal activity is observed over a range between pH 3.3 and 4.0 (PubMed:29574614). {ECO:0000269|PubMed:29574614, ECO:0000269|PubMed:29642287};",
4783,Q56EB3,"Optimum pH is at least 9.5, the highest pH value tested. No activity is observed below pH 8.5. {ECO:0000269|PubMed:16267283};",
4796,Q5BD38,"Optimum pH 3.0. {ECO:0000269|PubMed:16214120, ECO:0000269|PubMed:16844780};",
4797,Q5FJ41,"Optimum pH is 6.0 for both lactose and ONPG hydrolysis, but lactose hydrolysis activity is more sensitive to changes in pH than ONPG hydrolysis activity. {ECO:0000269|PubMed:19841976};",
4800,Q5JEK6,High levels of activity within a broad pH range of 5.0-9.0. {ECO:0000269|PubMed:25822915};,
4808,Q5LX16,Has two pH optima at 8 and 10. {ECO:0000269|PubMed:24930102};,
4816,Q6LZC4,Active from pH 6 to 10. {ECO:0000269|PubMed:18263721};,
4837,Q7WUL4,Optimum pH is 7.3-8.7 with 4'-nitrophenyl beta-N-acetyl-D-glucosaminide as substrate. Rapidly inactivated above pH 9.5 and stable from pH 6.0 to 9.5. {ECO:0000269|PubMed:16762038};,
4840,Q7YT16,Active at acidic pHs. Inactive above pH 7.;,
4849,Q87KV8,Active at alkaline pH. {ECO:0000269|PubMed:16390457};,
4854,Q8G6Z9,Optimum pH is 7.0-9.0 with Ala-Gln as substrate at 37 degrees Celsius. Activity is very low below pH 5.5 and at pH 10.0 is about 50% of the maximum. {ECO:0000269|PubMed:17601807};,
4885,Q93HU4,Active over a wide pH range between 5 and 9. {ECO:0000269|PubMed:11479290};,
4892,Q96X56,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4906,Q9CNC4,Optimum pH is 6.0. Active in a broad pH range of 4.5-10.0. Low activity is found at pH 10.0 and no significant activity is found at pH 4.0. {ECO:0000269|PubMed:21515586};,
4909,Q9HK44,Does not demonstrate significant pH dependence in the pH range of 6.5-9.0. {ECO:0000269|PubMed:24914732};,
4912,Q9I1S2,"Optimum pH is 8.3 (in the presence of Tris-HCl). Active from 7.3-7.8 in the presence of other buffers. {ECO:0000269|PubMed:234422, ECO:0000269|PubMed:4813896, ECO:0000269|Ref.3};",
4945,U5S003,Optimum pH is 7.5. Exhibits more than 50% of its optimal activity between pH 6.5 and 9.0. Displays highest stability in a pH range of 7.0-8.0. {ECO:0000269|PubMed:24949258};,
4955,A4YEA2,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4959,B3EWH4,Stable between pH 4 and 10. {ECO:0000269|PubMed:23165744};,
4960,B3EWI0,Hemagglutinating activity is stable over the pH range 4.0-12.0 but decreases below pH 3. {ECO:0000269|PubMed:21953532};,
4961,B3EWP5,Active from pH 1 to 10. {ECO:0000269|Ref.1};,
4962,B3EWQ7,Active between pH 2 and 12. {ECO:0000269|PubMed:24272828};,
4971,D2PHL8,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4973,F0NJT3,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4974,F4B9I5,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4975,F4FYY6,Highly stable from pH 0 to pH 12. {ECO:0000269|PubMed:27853299};,
4982,P0DUG2,Shows more potent antibacterial activity at pH 6.2 (approximate coral mucus pH) than at pH 8.0 (approximate pH of seawater). {ECO:0000269|PubMed:32937163};,
4983,P0DV53,Active between pH 6.0 and 10.2. {ECO:0000269|PubMed:35025633};,
4993,P81639,"Inactive at pH 2.0, activity is restored after 10 minutes incubation at pH 8.0. {ECO:0000269|PubMed:10411656};",
5000,P84890,Activity unaffected from pH 1-10. Loses 34% of its activity after 2 hours at pH >12 and 65% of its activity after 4 hours at pH >12. {ECO:0000269|PubMed:16376957};,
5005,P85833,Activity is stable between pH 2 and 9 but decreases at a more basic pH. {ECO:0000269|PubMed:22805947};,
5007,P86549,Stable at pH values ranging from 3.0-11.0 at 4 degrees Celsius. {ECO:0000269|PubMed:19232057};,
5008,P86807,"Optimum pH is 8.3. High activity between pH 7.5 and 8.6, rapidly loses activity below pH 7.0. Loss of activity below pH 6.3 is irreversible. {ECO:0000269|PubMed:12770709, ECO:0000269|PubMed:16129582};",
5010,P96274,Exhibits stability over a wide range of pH (5.0-9.0). {ECO:0000269|PubMed:35175508};,
66,A1IHE6,"Optimum pH is 8.0-8.5 (PubMed:17071761). Optimum pH is 7.0-8.0 (PubMed:30392152). {ECO:0000269|PubMed:17071761, ECO:0000269|PubMed:30392152};",more than 1 match
87,A4ECA9,Optimum pH is 9-10 for the oxidation of ursodeoxycholate. Optimum pH is 4-6 for the reduction of 7-oxo-LCA and dehydrocholate. {ECO:0000269|PubMed:21181147};,more than 1 match
598,O97240,Optimum pH is 6-8.5 for apurinic/apyrimidinic (AP) endonuclease activity (PubMed:33743509). Optimum pH is 8-8.5 for 3'-5' exonuclease activity (PubMed:33743509). Optimum pH is 8-8.5 for nucleotide incision repair (NIR) cleavage activity (PubMed:33743509). {ECO:0000269|PubMed:33743509};,more than 1 match
739,P0A9S5,"Optimum pH is 5.5-6.0 for dihydroxyacetone reduction and 9.5-10.0 for glycerol oxidation (PubMed:40950). Optimum pH is 10.0-10.2 for 1-amino-2-propanol oxidation (for homooctameric form) (PubMed:6365902). {ECO:0000269|PubMed:40950, ECO:0000269|PubMed:6365902};",more than 1 match
1092,P35557,Optimum pH is 6-8 with glucose as substrate (PubMed:7742312). Optimum pH is 9-10 with glucosamine as substrate (PubMed:7742312). {ECO:0000269|PubMed:7742312};,more than 1 match
1220,P49040,"Optimum pH is 6.0-7.0 for degradative reaction (PubMed:22184213, PubMed:17257168). Optimum pH is 7.0 for synthetic reaction (PubMed:22184213). Optimum pH is 9.0-9.5 for synthetic reaction (PubMed:17257168). {ECO:0000269|PubMed:17257168, ECO:0000269|PubMed:22184213};",more than 1 match
1660,Q13510,"Optimum pH is 3.8-5.0 for the hydrolysis of N-dodecanoylsphing-4-enine (PubMed:7744740, PubMed:12815059). Optimum pH is 5.5-6.5 for the synthesis of N-dodecanoylsphing-4-enine (PubMed:12815059). {ECO:0000269|PubMed:12815059, ECO:0000269|PubMed:7744740};",more than 1 match
1709,Q2FZP6,"Optimum pH is 8.4-9 (PubMed:14114846). Optimum pH is 8.4-9.2 (PubMed:20659527). {ECO:0000269|PubMed:14114846, ECO:0000269|PubMed:20659527};",more than 1 match
2406,Q91XT9,"Optimum pH is 6-7 for N-hexadecanoylsphing-4-enine hydrolysis (PubMed:11328816). Optimum pH is 7-10 for N-hexadecanoylsphing-4-enine hydrolysis (PubMed:10488143). Optimum pH is 6-8 for N-(octanoyl)-sphing-4-enine hydrolysis (PubMed:15217782). Optimum pH is 6.5-7 for hexadecanoate in the reverse reaction (PubMed:11278489). {ECO:0000269|PubMed:10488143, ECO:0000269|PubMed:11278489, ECO:0000269|PubMed:11328816, ECO:0000269|PubMed:15217782};",more than 1 match
2526,Q9AR04,"Optimum pH is 7.5-9 (PubMed:11032404). Optimum pH is 6.5-7 (at 30 degrees Celsius) (PubMed:10626375). {ECO:0000269|PubMed:10626375, ECO:0000269|PubMed:11032404};",more than 1 match
2607,Q9FX32,"Optimum pH is 6.0-7.0 for degradative reaction (PubMed:22184213, PubMed:17257168). Optimum pH is 7.0 for synthetic reaction (PubMed:22184213). Optimum pH is 9.0-9.5 for synthetic reaction (PubMed:17257168). {ECO:0000269|PubMed:17257168};",more than 1 match
2733,Q9M111,"Optimum pH is 6.0-7.0 for degradative reaction (PubMed:22184213, PubMed:17257168). Optimum pH is 7.0 for synthetic reaction (PubMed:22184213). Optimum pH is 9.0-9.5 for synthetic reaction (PubMed:17257168). {ECO:0000269|PubMed:17257168, ECO:0000269|PubMed:22184213};",more than 1 match
3668,P83615,"Optimum pH is 7.0-7.5 (PubMed:14519127). Optimum pH is 6.0-6.5 (PubMed:15598885). Active between pH 4.3 and 8.3. Stable after 12 hours incubation from pH 4.0 to 9.0. {ECO:0000269|PubMed:14519127, ECO:0000269|PubMed:15598885};",more than 1 match
4036,Q83XD3,"Optimum pH is 6.5-8.5 (PubMed:1655714). Optimum pH is 8.0-9.0 (PubMed:15716459). {ECO:0000269|PubMed:15716459, ECO:0000269|PubMed:1655714};",more than 1 match
4045,Q84UB4,Optimum pH is 7-7.5 with salicylic acid as substrate (PubMed:14630969). Optimum pH is 6.5-7.5 with benzoic acid as substrate (PubMed:14630969). {ECO:0000269|PubMed:14630969};,more than 1 match
