,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
643,1.17.7.3,8,9.5,"pH 8.0: about 65% of maximal activity, pH 9.5: about 75% of maximal activity",Escherichia coli,P62620,675579,"{'(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + H2O + oxidized flavodoxin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate + reduced deazaflavin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate + reduced flavodoxin'}","{'(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + H2O + oxidized deazaflavin', '(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + H2O + oxidized flavodoxin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate + reduced flavodoxin'}",,,,,,,"{'(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + H2O + oxidized flavodoxin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate + reduced deazaflavin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate + reduced flavodoxin'}",oxidation,"{'reduced flavodoxin', 'H2O', 'reduced deazaflavin', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate', '(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate', 'oxidized flavodoxin'}",(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
644,1.17.99.11,5.5,8,"pH 5.5: about 30% of maximal activity, pH 8-0: about 50% of maximal activity",Steroidobacter denitrificans,A0A127F6U7,759379,"{'1-testosterone + H2O + 2,6-dichlorophenolindophenol', 'androsta-1-ene-3,17-dione + H2O + 2,6-dichlorophenolindophenol', '1-dehydrotestosterone + H2O + 2,6-dichlorophenolindophenol', '2-octenal + 2,6-dichlorophenolindophenol', '1-testosterone + H2O + acceptor'}","{'? + reduced 2,6-dichlorophenolindophenol', '1,17-dihydroxy-androstan-3-one + reduced 2,6-dichlorophenolindophenol', '1,17-dihydroxy-androstan-3-one + reduced acceptor'}",,,,,,,"{'1-testosterone + H2O + 2,6-dichlorophenolindophenol', 'androsta-1-ene-3,17-dione + H2O + 2,6-dichlorophenolindophenol', '1-dehydrotestosterone + H2O + 2,6-dichlorophenolindophenol', '2-octenal + 2,6-dichlorophenolindophenol', '1-testosterone + H2O + acceptor'}",oxidation,"{'H2O', 'androsta-1-ene-3,17-dione', '1-dehydrotestosterone', '1-testosterone', '2,6-dichlorophenolindophenol', '2-octenal', 'acceptor'}",3-oxo-DELTA1-steroid hydratase/dehydrogenase
645,1.17.99.11,5.5,8,"pH 5.5: about 30% of maximal activity, pH 8-0: about 50% of maximal activity",Steroidobacter denitrificans,A0A127F985,759379,"{'1-testosterone + H2O + 2,6-dichlorophenolindophenol', 'androsta-1-ene-3,17-dione + H2O + 2,6-dichlorophenolindophenol', '1-dehydrotestosterone + H2O + 2,6-dichlorophenolindophenol', '2-octenal + 2,6-dichlorophenolindophenol', '1-testosterone + H2O + acceptor'}","{'? + reduced 2,6-dichlorophenolindophenol', '1,17-dihydroxy-androstan-3-one + reduced 2,6-dichlorophenolindophenol', '1,17-dihydroxy-androstan-3-one + reduced acceptor'}",,,,,,,"{'1-testosterone + H2O + 2,6-dichlorophenolindophenol', 'androsta-1-ene-3,17-dione + H2O + 2,6-dichlorophenolindophenol', '1-dehydrotestosterone + H2O + 2,6-dichlorophenolindophenol', '2-octenal + 2,6-dichlorophenolindophenol', '1-testosterone + H2O + acceptor'}",oxidation,"{'H2O', 'androsta-1-ene-3,17-dione', '1-dehydrotestosterone', '1-testosterone', '2,6-dichlorophenolindophenol', '2-octenal', 'acceptor'}",3-oxo-DELTA1-steroid hydratase/dehydrogenase
4046,1.14.14.9,5,8,more than 80% of activity,Escherichia coli,Q57160,438899,"{'FAD + NADH + H+', '4-hydroxyphenylacetate + NADH + O2', '3-hydroxyphenylacetate + FMNH2 + O2', 'FMN + NADH + H+', 'riboflavin + NADH + H+', '4-hydroxyphenylacetate + FADH2 + O2'}","{'FADH2 + NAD+', '3,4-hydroxyphenylacetate + FMN + H2O', 'FMNH2 + NAD+', '3,4-dihydroxyphenylacetate + NAD+ + H2O', '3,4-dihydroxyphenylacetate + FAD + H2O', 'reduced riboflavin + NAD+'}",,,,,,,"{'FAD + NADH + H+', '4-hydroxyphenylacetate + NADH + O2', '3-hydroxyphenylacetate + FMNH2 + O2', 'FMN + NADH + H+', 'riboflavin + NADH + H+', '4-hydroxyphenylacetate + FADH2 + O2'}",oxidation_or_reduction,"{'FMN', 'riboflavin', 'FAD', '3-hydroxyphenylacetate', 'H+', 'FMNH2', '4-hydroxyphenylacetate', 'FADH2', 'NADH', 'O2'}",4-hydroxyphenylacetate 3-monooxygenase
543,1.14.14.51,5.5,10,"about 40% activity at pH 5.5, about 75% activity at pH 6.5, about 90% activity at pH 7.0, 100% activity at 8.0, about 75% activity at pH 9.0, about 40% activity at pH 10.0",Geobacillus stearothermophilus,O85057,741662,"{'perillyl alcohol + NAD+', 'cyclohexyl methanol + NAD+', 'myrtenol + NAD+', 'benzyl alcohol + NAD+', '4-isopropyl benzyl alcohol + NAD+', '4-methyl benzyl alcohol + NAD+', '(S)-limonene + [reduced NADH-hemoprotein reductase] + O2', '1-cyclohexene 1-methanol + NAD+', 'perillyl aldehyde + NADH', 'carveol + NAD+'}","{'benzaldehyde + NADH', 'perillyl alcohol + NAD+', '4-isopropylbenzyl aldehyde + NADH', 'cyclohexylaldehyde + NADH', '1-cyclohexen-1-carbaldehyde + NADH + H+', '(-)-trans-carveol + [oxidized NADH-hemoprotein reductase] + H2O', 'perillyl aldehyde + NADH', '? + NADH', 'myrtenal + NADH'}",,,,,,,"{'perillyl alcohol + NAD+', 'cyclohexyl methanol + NAD+', 'myrtenol + NAD+', 'benzyl alcohol + NAD+', '4-isopropyl benzyl alcohol + NAD+', '4-methyl benzyl alcohol + NAD+', '(S)-limonene + [reduced NADH-hemoprotein reductase] + O2', '1-cyclohexene 1-methanol + NAD+', 'perillyl aldehyde + NADH', 'carveol + NAD+'}",oxidation_or_reduction,"{'benzyl alcohol', '4-isopropyl benzyl alcohol', 'cyclohexyl methanol', '4-methyl benzyl alcohol', 'myrtenol', 'carveol', 'perillyl alcohol', '1-cyclohexene 1-methanol', 'perillyl aldehyde', '(S)-limonene', '[reduced NADH-hemoprotein reductase]', 'NADH', 'NAD+', 'O2'}",(S)-limonene 6-monooxygenase
366,1.11.1.13,3.5,5.5,over 50% of maximal activity within this range,Cerrena unicolor,A0A7D5FUQ6,765693,"{'2 Mn(II) + 2 H+ + H2O2', 'Remazol Brilliant Blue R + H2O2', '2,6-dimethoxyphenol + 2 H+ + H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) + 2 H+ + H2O2"", 'guaiacol + 2 H+ + H2O2', 'Congo red + H2O2'}","{""oxidized 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) + 2 H2O"", '2 Mn(III) + 2 H2O', '?', 'oxidized guaiacol + 2 H2O', 'oxidized 2,6-dimethoxyphenol + 2 H2O'}",,,,,,,"{'2 Mn(II) + 2 H+ + H2O2', 'Remazol Brilliant Blue R + H2O2', '2,6-dimethoxyphenol + 2 H+ + H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) + 2 H+ + H2O2"", 'guaiacol + 2 H+ + H2O2', 'Congo red + H2O2'}",reduction,"{'guaiacol', '2,6-dimethoxyphenol', 'H+', 'Remazol Brilliant Blue R', 'Congo red', 'Mn(II)', 'H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)""}",manganese peroxidase
422,1.13.11.2,5.5,9.5,"pH 5.5: about 35% of maximal activity, pH 9.5: about 35% of maximal activity",Thauera sp. K11,A0A290ZJW2,765013,"{'catechol + O2', '4-chlorocatechol + O2', '3-methylcatechol + O2', '4,5-dichlorocatechol + O2', '3,5-dichlorocatechol + O2', '3-chlorocatechol + O2', '4-methylcatechol + O2'}","{'2-hydroxymuconate-6-semialdehyde', '?', '2-hydroxy-3,5-dimethyl-6-oxohexa-2,4-dienoic acid', '2-hydroxy-5-methyl-6-oxohexa-2,4-dienoate', '5-chloro-2-hydroxy-6-oxohexa-2,4-dienoate', '2-hydroxy-6-oxohepta-2,4-dienoate'}",,,,,,,"{'catechol + O2', '4-chlorocatechol + O2', '3-methylcatechol + O2', '4,5-dichlorocatechol + O2', '3,5-dichlorocatechol + O2', '3-chlorocatechol + O2', '4-methylcatechol + O2'}",oxidation,"{'4-chlorocatechol', '3-chlorocatechol', '4,5-dichlorocatechol', '4-methylcatechol', 'catechol', 'O2', '3,5-dichlorocatechol', '3-methylcatechol'}","catechol 2,3-dioxygenase"
431,1.13.11.3,7,11,the enzyme shows more than 50% activity between pH 7.0 and 11.0 and loses 98.3% of its original enzymatic activity at pH 4.0 and about 95.4% at pH 12.0,Stenotrophomonas maltophilia,I0DHJ0,743122,"{'4-hydroxybenzoic acid + O2', '3,4-dihydroxybenzoate + O2', '2,6-dihydroxybenzoate + O2', 'caffeic acid + O2', '2,5-dihydroxybenzoate + O2', '2,3-dihydroxybenzoate + O2', 'vanillic acid + O2', '3,4-dihydroxyhydrocinnamic acid + O2', '2,4-dihydroxybenzoate + O2'}","{'?', '3-carboxy-cis,cis-muconate'}",,,,,,,"{'4-hydroxybenzoic acid + O2', '3,4-dihydroxybenzoate + O2', '2,6-dihydroxybenzoate + O2', 'caffeic acid + O2', '2,5-dihydroxybenzoate + O2', '2,3-dihydroxybenzoate + O2', 'vanillic acid + O2', '3,4-dihydroxyhydrocinnamic acid + O2', '2,4-dihydroxybenzoate + O2'}",oxidation,"{'vanillic acid', '2,6-dihydroxybenzoate', '3,4-dihydroxyhydrocinnamic acid', 'caffeic acid', '2,3-dihydroxybenzoate', '2,5-dihydroxybenzoate', '3,4-dihydroxybenzoate', '2,4-dihydroxybenzoate', '4-hydroxybenzoic acid', 'O2'}","protocatechuate 3,4-dioxygenase"
438,1.13.11.39,7,9,"pH 7.0: about 50% of maximal activity, pH 9.0: about 45% of maximal activity",Dyella ginsengisoli,A9QT35,703749,"{'2,3-dihydroxybiphenyl + O2', 'catechol + O2', '4-chlorocatechol + O2', '3-methylcatechol + O2', '4-methylcatechol + O2'}","{'?', '2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate + H2O', '4-chloro-2-hydroxy-6-oxohexa-2,4-dienoate', '2-hydroxy-4-methyl-6-oxohexa-2,4-dienoate', '2-hydroxy-6-oxohepta-2,4-dienoate'}",,,,,,,"{'2,3-dihydroxybiphenyl + O2', 'catechol + O2', '4-chlorocatechol + O2', '3-methylcatechol + O2', '4-methylcatechol + O2'}",oxidation,"{'4-chlorocatechol', '4-methylcatechol', '2,3-dihydroxybiphenyl', '3-methylcatechol', 'O2', 'catechol'}","biphenyl-2,3-diol 1,2-dioxygenase"
3981,1.13.11.5,5,8,"approx. 15% of maximal activity at pH 5.0 and pH 8.0, respectively",Homo sapiens,Q93099,657859,"{'3-methylhomogentisate + O2', '3-chlorohomogentisate + O2', 'homogentisate + O2'}","{'3-methyl-4-maleylacetoacetate', '3-chloro-4-maleylacetoacetate', '4-maleylacetoacetate'}",,,,,,,"{'3-methylhomogentisate + O2', '3-chlorohomogentisate + O2', 'homogentisate + O2'}",oxidation,"{'3-chlorohomogentisate', '3-methylhomogentisate', 'homogentisate', 'O2'}","homogentisate 1,2-dioxygenase"
444,1.13.11.52,5,7.5,"pH 5.0: about 50% of maximal activity, pH 7.5: about 65% of maximal activity",Homo sapiens,P14902,684391,"{'5-hydroxy-L-tryptophan + O2', 'L-tryptophan + O2', 'tryptamine + O2', 'D-tryptophan + O2', 'L-Trp + O2', 'serotonin + O2'}","{'N-formyl-5-hydroxy-L-kynurenine', '?', 'N-formyl-L-kynurenine', 'N-formyl-D-kynurenine', 'L-formylkynurenine', '(2S)-4-(2-amino-5-hydroxyphenyl)-2-(formylamino)-4-oxobutanoic acid'}",,,,,,,"{'5-hydroxy-L-tryptophan + O2', 'L-tryptophan + O2', 'tryptamine + O2', 'D-tryptophan + O2', 'L-Trp + O2', 'serotonin + O2'}",oxidation,"{'L-Trp', 'serotonin', 'D-tryptophan', 'tryptamine', 'L-tryptophan', '5-hydroxy-L-tryptophan', 'O2'}","indoleamine 2,3-dioxygenase"
3983,1.13.11.52,5,7,"pH 5.0: about 50% of maximal activity, pH 7.0: about 65% of maximal activity",Mus musculus,P28776,684391,"{'5-hydroxy-L-tryptophan + O2', 'D-tryptophan + O2', 'L-Trp + O2', 'L-tryptophan + O2'}","{'N-formyl-D-kynurenine', 'L-formylkynurenine', 'N-formyl-L-kynurenine', '(2S)-4-(2-amino-5-hydroxyphenyl)-2-(formylamino)-4-oxobutanoic acid'}",,,,,,,"{'5-hydroxy-L-tryptophan + O2', 'D-tryptophan + O2', 'L-Trp + O2', 'L-tryptophan + O2'}",oxidation,"{'L-Trp', 'D-tryptophan', 'L-tryptophan', '5-hydroxy-L-tryptophan', 'O2'}","indoleamine 2,3-dioxygenase"
448,1.13.11.58,5,8.5,"pH 5.0: about 50% of maximal activity, pH 8.5: about 70% of maximal activity",Hordeum vulgare,P29114,396147,"{'alpha-linolenate + O2', 'linoleate + O2', 'alpha-linolenic acid + O2'}","{'(9S,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate', '(10E,12Z)-9-hydroperoxy-10,12-octadecadienoate', '(10E,12Z)-9-hydroperoxy-10,12,15-octadecatrienoic acid'}",,,,,,,"{'alpha-linolenate + O2', 'linoleate + O2', 'alpha-linolenic acid + O2'}",oxidation,"{'alpha-linolenate', 'alpha-linolenic acid', 'linoleate', 'O2'}",linoleate 9S-lipoxygenase
449,1.13.11.58,5.3,6.5,"pH 5.3: about 80% of maximal activity, pH 6.5: about 40% of maximal activity",Oryza sativa,Q76I22,706170,"{'alpha-linolenate + O2', 'linoleate + O2'}","{'(9S,10E,12Z,15Z)-9-hydroperoxy-10,12,15-octadecatrienoate', '(9S,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate'}",,,,,,,"{'alpha-linolenate + O2', 'linoleate + O2'}",oxidation,"{'alpha-linolenate', 'linoleate', 'O2'}",linoleate 9S-lipoxygenase
3987,1.13.11.61,4.5,10.5,"50% of maximal activity at pH 4.5-6.5, maximal activity at pH 8.5",Nostoc sp.,Q8YK97,743586,"{'linoleate + O2', 'linoleic acid + O2', 'alpha-linolenate + O2', 'gamma-linolenic acid + O2', 'alpha-linolenic acid + O2'}","{'(9R,10E,12Z)-9-hydroxy-octadeca-10,12-dienoic acid', '(9R,10E,12Z,15Z)-9-hydroxy-octadeca-10,12,15-trienoic acid', '(9R,10E,12Z,15Z)-9-hydroperoxy-10,12,15-octadecatrienoate', '(6Z,9R,10E,12Z)-9-hydroxy-octadeca-6,10,12-trienoic acid', '(9R,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate', '(9R,10E,12Z,15Z)-9-hydroxy-10,12,15-octadecatrienoic acid'}",,,,,,,"{'linoleate + O2', 'linoleic acid + O2', 'alpha-linolenate + O2', 'gamma-linolenic acid + O2', 'alpha-linolenic acid + O2'}",oxidation,"{'alpha-linolenate', 'alpha-linolenic acid', 'linoleic acid', 'linoleate', 'O2', 'gamma-linolenic acid'}",linolenate 9R-lipoxygenase
3988,1.13.11.82,7,9,more than 60% activity between pH 7.0 and 9.0,Novosphingobium aromaticivorans,A4XES9,764362,"{'gamma-carotene + O2', ""8'-apo-beta-carotenal + O2""}","{'?', '13-apo-beta-carotenone + 2,6-dimethyldeca-2,4,6,8-tetraenedial'}",,,,,,,"{'gamma-carotene + O2', ""8'-apo-beta-carotenal + O2""}",oxidation,"{'gamma-carotene', ""8'-apo-beta-carotenal"", 'O2'}","8'-apo-carotenoid 13,14-cleaving dioxygenase"
421,1.13.11.2,4,9,"pH 4.0: 29% of maximal activity, pH 6.5: about 50% of maximal activity, pH 9.0: 61% of maximal activity",Saccharolobus solfataricus,V5W6K5,677966,"{'3-methylcatechol + O2', 'catechol + O2', '4-chlorocatechol + O2', '4-methylcatechol + O2'}","{'4-chloro-2-hydroxymuconate semialdehyde', '2-hydroxy-3-methylmuconate semialdehyde', '?', '2-hydroxymuconate semialdehyde', '2-hydroxy-4-methyl-6-oxohexa-2,4-dienoate', '2-hydroxymuconate-6-semialdehyde', '2-hydroxy-6-oxohepta-2,4-dienoate'}",,,,,,,"{'3-methylcatechol + O2', 'catechol + O2', '4-chlorocatechol + O2', '4-methylcatechol + O2'}",oxidation,"{'4-chlorocatechol', '4-methylcatechol', '3-methylcatechol', 'O2', 'catechol'}","catechol 2,3-dioxygenase"
418,1.13.11.12,6,9.5,over 60% of maxmal activity within this range,Malus domestica,S4ULD7,742627,"{'linolenate + O2', 'linoleate + O2', 'alpha-linolenate + O2'}","{'?', '(9R,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate + (9Z,11E,13R)-13-hydroperoxy-9,11-octadecadienoate', '(9S,10E,12Z)-9-hydroperoxy-10,12-octadecadienoate', '13-hydroperoxyoctadeca-9,11-dienoate', '9-hydroperoxy-10,12-octadecadienoate + 13-hydroperoxy-9,11-octadecadienoate', '13-hydroperoxyoctadeca-9,11,15-trienoate'}",,,,,,,"{'linolenate + O2', 'linoleate + O2', 'alpha-linolenate + O2'}",oxidation,"{'alpha-linolenate', 'linolenate', 'linoleate', 'O2'}",linoleate 13S-lipoxygenase
3972,1.13.11.12,8,10,the enzyme has about 60% activity at pH 8.0 and about 70% activity at pH10.0,Glycine max,P08170,764604,"{'linoleic acid + O2', 'linoleate + O2', 'alpha-linolenic acid + O2'}","{'(9Z,11E,13S)-13-hydroperoxyoctadeca-9,11-dienoate', '13(S)-hydroperoxy-9,11-octadecadienoic acid', '(9Z,11E)-(13S)-13-hydroperoxyoctadeca-9,11-dienoate', '?'}",,,,,,,"{'linoleic acid + O2', 'linoleate + O2', 'alpha-linolenic acid + O2'}",oxidation,"{'alpha-linolenic acid', 'linoleic acid', 'linoleate', 'O2'}",linoleate 13S-lipoxygenase
368,1.11.1.16,3,6.5,more than 60% activity between pH 3.0 and 6.5,Pleurotus sapidus,Q4QZ27,743092,"{'veratryl alcohol + H+ + H2O2', 'beta-carotene + H+ + H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) + H+ + H2O2"", 'syringol + H+ + H2O2'}","{'veratraldehyde + H2O', '?'}",,,,,,,"{'veratryl alcohol + H+ + H2O2', 'beta-carotene + H+ + H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) + H+ + H2O2"", 'syringol + H+ + H2O2'}",reduction,"{'syringol', 'H+', 'veratryl alcohol', 'beta-carotene', 'H2O2', ""2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)""}",versatile peroxidase
377,1.11.1.19,4,9,the enzyme shows more than 35% activity at pH 4.0-9.0,Saccharomonospora viridis,T1SP91,743647,"{'Brilliant Green + H2O2 + H+', 'Reactive Red 120 + H2O2 + H+', 'Azure B + H2O2 + H+', 'Malachite Green + H2O2 + H+', 'veratryl alcohol + H2O2 + H+', '2,6-dimethoxyphenol + H2O2 + H+', 'Reactive Green 19 + H2O2 + H+', 'Reactive Yellow 2 + H2O2 + H+'}",{'?'},,,,,,,"{'Brilliant Green + H2O2 + H+', 'Reactive Red 120 + H2O2 + H+', 'Azure B + H2O2 + H+', 'Malachite Green + H2O2 + H+', 'veratryl alcohol + H2O2 + H+', '2,6-dimethoxyphenol + H2O2 + H+', 'Reactive Green 19 + H2O2 + H+', 'Reactive Yellow 2 + H2O2 + H+'}",reduction,"{'2,6-dimethoxyphenol', 'H+', 'Reactive Green 19', 'veratryl alcohol', 'Malachite Green', 'Azure B', 'Reactive Red 120', 'Brilliant Green', 'Reactive Yellow 2', 'H2O2'}",dye decolorizing peroxidase
378,1.11.1.20,6.5,8,"pH 6.5: about 50% of maximal activity, pH 8.0: about 70% of maximal activity",Mus musculus,Q9DB60,687797,"{'thioredoxin + tert-butyl hydroperoxide', 'thioredoxin + cumene hydroperoxide', 'thioredoxin + prostamide H2', 'thioredoxin + t-butyl hydroperoxide', 'prostaglandin H2 + reduced thioredoxin', 'thioredoxin + (5Z)-N-(2-hydroxyethyl)-7-[(1R,4S,5R,6R)-6-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-2,3-dioxabicyclo[2.2.1]hept-5-yl]hept-5-enamide', 'thioredoxin + (5Z,9alpha,11alpha,13E,15S)-9,11-epidioxy-15-hydroxy-prosta-5,13-dienoate', 'thioredoxin + prostaglandin H2', 'prostamide H2 + reduced thioredoxin', 'prostamide F2alpha + oxidized thioredoxin', 'prostaglandin H2 + NADPH + H+', 'thioredoxin + H2O2'}","{'thioredoxin disulfide + (5Z,9alpha,11alpha,13E,15S)-9,11,15-trihydroxyprosta-5,13-dienoate', 'thioredoxin disulfide + H2O + 2-phenylpropan-2-ol', 'prostaglandin F2alpha + oxidized thioredoxin', 'thioredoxin disulfide + prostaglandin F2alpha', 'thioredoxin disulfide + prostamide F2alpha', 'prostamide F2alpha + oxidized thioredoxin', 'thioredoxin disulfide + (5Z,9alpha,11alpha,13E,15S)-9,11,15-trihydroxy-N-(2-hydroxyethyl)prosta-5,13-dien-1-amide', 'thioredoxin disulfide + H2O + tert-butanol', 'prostaglandin F2alpha + NADP+', 'prostamide H2 + reduced thioredoxin', 'thioredoxin disulfide + 2 H2O', 'thioredoxin disulfide + ?'}",,,,,,,"{'thioredoxin + tert-butyl hydroperoxide', 'thioredoxin + cumene hydroperoxide', 'thioredoxin + prostamide H2', 'thioredoxin + t-butyl hydroperoxide', 'prostaglandin H2 + reduced thioredoxin', 'thioredoxin + (5Z)-N-(2-hydroxyethyl)-7-[(1R,4S,5R,6R)-6-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-2,3-dioxabicyclo[2.2.1]hept-5-yl]hept-5-enamide', 'thioredoxin + (5Z,9alpha,11alpha,13E,15S)-9,11-epidioxy-15-hydroxy-prosta-5,13-dienoate', 'thioredoxin + prostaglandin H2', 'prostamide H2 + reduced thioredoxin', 'prostamide F2alpha + oxidized thioredoxin', 'prostaglandin H2 + NADPH + H+', 'thioredoxin + H2O2'}",reduction,"{'tert-butyl hydroperoxide', '(5Z)-N-(2-hydroxyethyl)-7-[(1R,4S,5R,6R)-6-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-2,3-dioxabicyclo[2.2.1]hept-5-yl]hept-5-enamide', 'H2O2', 'reduced thioredoxin', 'H+', 'oxidized thioredoxin', 'prostamide F2alpha', '(5Z,9alpha,11alpha,13E,15S)-9,11-epidioxy-15-hydroxy-prosta-5,13-dienoate', 't-butyl hydroperoxide', 'prostaglandin H2', 'cumene hydroperoxide', 'NADPH', 'prostamide H2', 'thioredoxin'}",prostamide/prostaglandin F2alpha synthase
381,1.11.1.24,5.4,9,"no activity at or below pH 5.4, optimal activity at pH 9.0",Taiwanofungus camphoratus,A1KZ88,671545,"{'thioredoxin + linoleic acid hydroperoxide', '2 thioredoxin + ROOH'}","{'thioredoxin disulfide + H2O + linoleic acid', 'thioredoxin disulfide + H2O + ROH'}",,,,,,,"{'thioredoxin + linoleic acid hydroperoxide', '2 thioredoxin + ROOH'}",not_found,"{'linoleic acid hydroperoxide', 'ROOH', 'thioredoxin'}",thioredoxin-dependent peroxiredoxin
383,1.11.1.25,7.5,9.3,"pH 7.5: about 50% of maximal activity, pH 9.3: about 55% of maximal activity, substrate: tert-butyl hydroperoxide",Saccharomyces cerevisiae,P34227,752510,"{'glutaredoxin + tert-butyl hydroperoxide', 'glutaredoxin + H2O2'}","{'glutaredoxin disulfide + H2O + tert-butyl alcohol', 'glutaredoxin disulfide + 2 H2O'}",,,,,,,"{'glutaredoxin + tert-butyl hydroperoxide', 'glutaredoxin + H2O2'}",reduction,"{'H2O2', 'tert-butyl hydroperoxide', 'glutaredoxin'}",glutaredoxin-dependent peroxiredoxin
402,1.11.1.7,2,4,more than 93% of maximum activity within,Trachycarpus fortunei,A0A0A0Y4H8,742733,"{'o-phenylenediamine + H2O2', 'catechol + H2O2', 'guaiacol + H2O2', ""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) + H2O2"", 'pyrogallol + H2O2'}",{'? + H2O'},,,,,,,"{'o-phenylenediamine + H2O2', 'catechol + H2O2', 'guaiacol + H2O2', ""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) + H2O2"", 'pyrogallol + H2O2'}",reduction,"{""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)"", 'guaiacol', 'o-phenylenediamine', 'pyrogallol', 'H2O2', 'catechol'}",peroxidase
406,1.11.1.B2,3.5,5.5,"pH 3.5: about 70% of maximal activity, pH 5.5: about 45% of maximal activity",Curvularia inaequalis,P49053,658904,"{'monochlorodimedone + Cl- + H2O2', 'monochlorodimedone + Br- + H2O2', 'Br- + H2O2 + H+', 'I- + H2O2 + H+', 'Cl- + H2O2 + H+', 'RH + I- + H2O2 + H+', 'RH + Cl- + H2O2 + H+', 'RH + Br- + H2O2 + H+'}","{'HOI + H2O', 'RCl + 2 H2O', 'HOBr + H2O', 'monobromo-monochlorodimedone + H2O', 'RBr + 2 H2O', 'dichlorodimedone + H2O', 'RI + 2 H2O', 'HOCl + H2O'}",,,,,,,"{'monochlorodimedone + Cl- + H2O2', 'monochlorodimedone + Br- + H2O2', 'Br- + H2O2 + H+', 'I- + H2O2 + H+', 'Cl- + H2O2 + H+', 'RH + I- + H2O2 + H+', 'RH + Cl- + H2O2 + H+', 'RH + Br- + H2O2 + H+'}",reduction,"{'H+', 'I-', 'Cl-', 'monochlorodimedone', 'Br-', 'H2O2', 'RH'}",chloride peroxidase (vanadium-containing)
409,1.11.2.1,5.5,7.5,more than 50% activity between pH 5.5 and 7.5,Cyclocybe aegerita,B9W4V6,743112,"{""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) + H2O2"", 'veratryl alcohol + H2O2', 'methyl benzoate + H2O2'}","{""oxidized 2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) + H2O"", 'veratraldehyde + H2O', '?'}",,,,,,,"{""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid) + H2O2"", 'veratryl alcohol + H2O2', 'methyl benzoate + H2O2'}",reduction,"{""2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)"", 'veratryl alcohol', 'methyl benzoate', 'H2O2'}",unspecific peroxygenase
3962,1.12.2.1,5,9,"pH 5.0: about 30% of maximal activity, pH 9.0: about 35% of maximal activity",Desulfovibrio desulfuricans,P13061,395560,"{'H2 + methylene blue', 'H2 + ferricytochrome c3', 'H+ + reduced methyl viologen', 'H2 + benzyl viologen', 'H+ + phenosafranine', 'H+ + neutral red'}","{'H2 + methyl viologen', 'H+ + reduced benzyl viologen', 'H2 + oxidized phenosafranine', 'H2 + oxidized neutral red', 'H+ + reduced methylene blue', 'H+ + ferrocytochrome c3'}",,,,,,,"{'H2 + methylene blue', 'H2 + ferricytochrome c3', 'H+ + reduced methyl viologen', 'H2 + benzyl viologen', 'H+ + phenosafranine', 'H+ + neutral red'}",not_found,"{'ferricytochrome c3', 'reduced methyl viologen', 'H2', 'H+', 'benzyl viologen', 'neutral red', 'phenosafranine', 'methylene blue'}",cytochrome-c3 hydrogenase
